#,Pokemon,,,New Sprites,Sprites Set,Sprites,Type 1,Type 2,HP,Atk,Def,SpA,SpD,Spe,Total,AVG,Ability 1,Ability 2,Ability 3,Fully evolved,Generation
160,Feraligatr,Feraligatr,,,,,Water,,85,105,100,79,83,78,530,88.33,Torrent,,Sheer Force,Yes,2
161,Sentret,Sentret,,,,,Normal,,35,46,34,35,45,20,215,35.83,Run Away,Keen Eye,Frisk,No,2
162,Furret,Furret,,,,,Normal,,85,76,64,45,55,90,415,69.17,Run Away,Keen Eye,Frisk,Yes,2
163,Hoothoot,Hoothoot,,,,,Normal,Flying,60,30,30,36,56,50,262,43.67,Insomnia,Keen Eye,Tinted Lens,No,2
164,Noctowl,Noctowl,,,,,Normal,Flying,100,50,50,86,96,70,452,75.33,Insomnia,Keen Eye,Tinted Lens,Yes,2
165,Ledyba,Ledyba,,,,,Bug,Flying,40,20,30,40,80,55,265,44.17,Swarm,Early Bird,Rattled,No,2
166,Ledian,Ledian,,,,,Bug,Flying,55,35,50,55,110,85,390,65,Swarm,Early Bird,Iron Fist,Yes,2
167,Spinarak,Spinarak,,,,,Bug,Poison,40,60,40,40,40,30,250,41.67,Swarm,Insomnia,Sniper,No,2
168,Ariados,Ariados,,,,,Bug,Poison,70,90,70,60,70,40,400,66.67,Swarm,Insomnia,Sniper,Yes,2
169,Crobat,Crobat,,,,,Poison,Flying,85,90,80,70,80,130,535,89.17,Inner Focus,,Infiltrator,Yes,2
170,Chinchou,Chinchou,,,,,Water,Electric,75,38,38,56,56,67,330,55,Volt Absorb,Illuminate,Water Absorb,No,2
171,Lanturn,Lanturn,,,,,Water,Electric,125,58,58,76,76,67,460,76.67,Volt Absorb,Illuminate,Water Absorb,Yes,2
172,Pichu,Pichu,,,,,Electric,,20,40,15,35,35,60,205,34.17,Static,,Lightning Rod,No,2
173,Cleffa,Cleffa,,,,,Fairy,,50,25,28,45,55,15,218,36.33,Cute Charm,Magic Guard,Friend Guard,No,2
174,Igglybuff,Igglybuff,,,,,Normal,Fairy,90,30,15,40,20,15,210,35,Cute Charm,Competitive,Friend Guard,No,2
175,Togepi,Togepi,,,,,Fairy,,35,20,65,40,65,20,245,40.83,Hustle,Serene Grace,Super Luck,No,2
176,Togetic,Togetic,,,,,Fairy,Flying,55,40,85,80,105,40,405,67.5,Hustle,Serene Grace,Super Luck,No,2
177,Natu,Natu,,,,,Psychic,Flying,40,50,45,70,45,70,320,53.33,Synchronize,Early Bird,Magic Bounce,No,2
178,Xatu,Xatu,,,,,Psychic,Flying,65,75,70,95,70,95,470,78.33,Synchronize,Early Bird,Magic Bounce,Yes,2
179,Mareep,Mareep,,,,,Electric,,55,40,40,65,45,35,280,46.67,Static,,Plus,No,2
180,Flaaffy,Flaaffy,,,,,Electric,,70,55,55,80,60,45,365,60.83,Static,,Plus,No,2
181,Ampharos,Ampharos,,,,,Electric,,90,75,85,115,90,55,510,85,Static,,Plus,Yes,2
181,Mega Ampharos,Mega Ampharos,,,,,Electric,Dragon,90,95,105,165,110,45,610,101.67,Mold Breaker,,,Yes,6
182,Bellossom,Bellossom,,,,,Grass,,75,80,95,90,100,50,490,81.67,Chlorophyll,,Healer,Yes,2
183,Marill,Marill,,,,,Water,Fairy,70,20,50,20,50,40,250,41.67,Thick Fat,Huge Power,Sap Sipper,No,2
184,Azumarill,Azumarill,,,,,Water,Fairy,100,50,80,60,80,50,420,70,Thick Fat,Huge Power,Sap Sipper,Yes,2
185,Sudowoodo,Sudowoodo,,,,,Rock,,70,100,115,30,65,30,410,68.33,Sturdy,Rock Head,Rattled,Yes,2
186,Politoed,Politoed,,,,,Water,,90,75,75,90,100,70,500,83.33,Water Absorb,Damp,Drizzle,Yes,2
187,Hoppip,Hoppip,,,,,Grass,Flying,35,35,40,35,55,50,250,41.67,Chlorophyll,Leaf Guard,Infiltrator,No,2
188,Skiploom,Skiploom,,,,,Grass,Flying,55,45,50,45,65,80,340,56.67,Chlorophyll,Leaf Guard,Infiltrator,No,2
189,Jumpluff,Jumpluff,,,,,Grass,Flying,75,55,70,55,95,110,460,76.67,Chlorophyll,Leaf Guard,Infiltrator,Yes,2
190,Aipom,Aipom,,,,,Normal,,55,70,55,40,55,85,360,60,Run Away,Pickup,Skill Link,No,2
191,Sunkern,Sunkern,,,,,Grass,,30,30,30,30,30,30,180,30,Chlorophyll,Solar Power,Early Bird,No,2
192,Sunflora,Sunflora,,,,,Grass,,75,75,55,105,85,30,425,70.83,Chlorophyll,Solar Power,Early Bird,Yes,2
193,Yanma,Yanma,,,,,Bug,Flying,65,65,45,75,45,95,390,65,Speed Boost,Compound Eyes,Frisk,No,2
194,Wooper,Wooper,,,,,Water,,55,45,45,25,25,15,210,35,Damp,Water Absorb,Unaware,No,2
194,Paldean Wooper,Paldean Wooper,,,,,Poison,Ground,55,45,45,25,25,15,210,35,Poison Point,Water Absorb,Unaware,No,9
195,Quagsire,Quagsire,,,,,Water,Ground,95,85,85,65,65,35,430,71.67,Damp,Water Absorb,Unaware,Yes,2
196,Espeon,Espeon,,,,,Psychic,,65,65,60,130,95,110,525,87.5,Synchronize,,Magic Bounce,Yes,2
197,Umbreon,Umbreon,,,,,Dark,,95,65,110,60,130,65,525,87.5,Synchronize,,Inner Focus,Yes,2
198,Murkrow,Murkrow,,,,,Dark,Flying,60,85,42,85,42,91,405,67.5,Insomnia,Super Luck,Prankster,No,2
199,Slowking,Slowking,,,,,Water,Psychic,95,75,80,100,110,30,490,81.67,Oblivious,Own Tempo,Regenerator,Yes,2
199,Galarian Slowking,Galarian Slowking,,,,,Poison,Psychic,95,75,80,100,110,30,490,81.67,Curious Medicine,Own Tempo,Regenerator,Yes,8
200,Misdreavus,Misdreavus,,,,,Ghost,,60,60,60,85,85,85,435,72.5,Levitate,,,No,2
201,Unown,Unown,,,,,Psychic,,48,72,48,72,48,48,336,56,Levitate,,,Yes,2
202,Wobbuffet,Wobbuffet,,,,,Psychic,,190,33,58,33,58,33,405,67.5,,,Telepathy,Yes,2
203,Girafarig,Girafarig,,,,,Normal,Psychic,70,80,65,90,65,85,455,75.83,Inner Focus,Early Bird,Sap Sipper,No,2
204,Pineco,Pineco,,,,,Bug,,50,65,90,35,35,15,290,48.33,Sturdy,,Overcoat,No,2
205,Forretress,Forretress,,,,,Bug,Steel,75,90,140,60,60,40,465,77.5,Sturdy,,Overcoat,Yes,2
206,Dunsparce,Dunsparce,,,,,Normal,,100,70,70,65,65,45,415,69.17,Serene Grace,Run Away,Rattled,No,2
207,Gligar,Gligar,,,,,Ground,Flying,65,75,105,35,65,85,430,71.67,Hyper Cutter,Sand Veil,Immunity,No,2
208,Steelix,Steelix,,,,,Ground,Steel,75,85,200,55,65,30,510,85,Rock Head,Sturdy,Sheer Force,Yes,2
208,Mega Steelix,Mega Steelix,,,,,Ground,Steel,75,125,230,55,95,30,610,101.67,Sand Force,,,Yes,6
209,Snubbull,Snubbull,,,,,Fairy,,60,80,50,40,40,30,300,50,Intimidate,Run Away,Rattled,No,2
210,Granbull,Granbull,,,,,Fairy,,90,120,75,60,60,45,450,75,Intimidate,Quick Feet,Rattled,Yes,2
211,Qwilfish,Qwilfish,,,,,Water,Poison,65,95,85,55,55,85,440,73.33,Poison Point,Swift Swim,Intimidate,Yes,2
211,Hisuian Qwilfish,Hisuian Qwilfish,,,,,Dark,Poison,65,95,85,55,55,85,440,73.33,Poison Point,Swift Swim,Intimidate,No,9
212,Scizor,Scizor,,,,,Bug,Steel,70,130,100,55,80,65,500,83.33,Swarm,Technician,Light Metal,Yes,2
212,Mega Scizor,Mega Scizor,,,,,Bug,Steel,70,150,140,65,100,75,600,100,Technician,,,Yes,6
213,Shuckle,Shuckle,,,,,Bug,Rock,20,10,230,10,230,5,505,84.17,Sturdy,Gluttony,Contrary,Yes,2
214,Heracross,Heracross,,,,,Bug,Fighting,80,125,75,40,95,85,500,83.33,Swarm,Guts,Moxie,Yes,2
214,Mega Heracross,Mega Heracross,,,,,Bug,Fighting,80,185,115,40,105,75,600,100,Skill Link,,,Yes,6
215,Sneasel,Sneasel,,,,,Dark,Ice,55,95,55,35,75,115,430,71.67,Inner Focus,Keen Eye,Pickpocket,No,2
215,Hisuian Sneasel,Hisuian Sneasel,,,,,Fighting,Poison,55,95,55,35,75,115,430,71.67,Inner Focus,Keen Eye,Pickpocket,No,9
216,Teddiursa,Teddiursa,,,,,Normal,,60,80,50,50,50,40,330,55,Pickup,Quick Feet,Honey Gather,No,2
217,Ursaring,Ursaring,,,,,Normal,,90,130,75,75,75,55,500,83.33,Guts,Quick Feet,Unnerve,No,2
218,Slugma,Slugma,,,,,Fire,,40,40,40,70,40,20,250,41.67,Magma Armor,Flame Body,Weak Armor,No,2
219,Magcargo,Magcargo,,,,,Fire,Rock,60,50,120,90,80,30,430,71.67,Magma Armor,Flame Body,Weak Armor,Yes,2
220,Swinub,Swinub,,,,,Ice,Ground,50,50,40,30,30,50,250,41.67,Oblivious,Snow Cloak,Thick Fat,No,2
221,Piloswine,Piloswine,,,,,Ice,Ground,100,100,80,60,60,50,450,75,Oblivious,Snow Cloak,Thick Fat,No,2
222,Corsola,Corsola,,,,,Water,Rock,65,55,95,65,95,35,410,68.33,Hustle,Natural Cure,Regenerator,Yes,2
222,Galarian Corsola,Galarian Corsola,,,,,Ghost,,60,55,100,65,100,30,410,68.33,Cursed Body,Weak Armor,,No,8
223,Remoraid,Remoraid,,,,,Water,,35,65,35,65,35,65,300,50,Hustle,Sniper,Moody,No,2
224,Octillery,Octillery,,,,,Water,,75,105,75,105,75,45,480,80,Suction Cups,Sniper,Moody,Yes,2
225,Delibird,Delibird,,,,,Ice,Flying,45,55,45,65,45,75,330,55,Vital Spirit,Hustle,Insomnia,Yes,2
226,Mantine,Mantine,,,,,Water,Flying,85,40,70,80,140,70,485,80.83,Swift Swim,Water Absorb,Water Veil,Yes,2
227,Skarmory,Skarmory,,,,,Steel,Flying,65,80,140,40,70,70,465,77.5,Keen Eye,Sturdy,Weak Armor,Yes,2
228,Houndour,Houndour,,,,,Dark,Fire,45,60,30,80,50,65,330,55,Early Bird,Flash Fire,Unnerve,No,2
229,Houndoom,Houndoom,,,,,Dark,Fire,75,90,50,110,80,95,500,83.33,Early Bird,Flash Fire,Unnerve,Yes,2
229,Mega Houndoom,Mega Houndoom,,,,,Dark,Fire,75,90,90,140,90,115,600,100,Solar Power,,,Yes,6
230,Kingdra,Kingdra,,,,,Water,Dragon,75,95,95,95,95,85,540,90,Swift Swim,Sniper,Damp,Yes,2
231,Phanpy,Phanpy,,,,,Ground,,90,60,60,40,40,40,330,55,Pickup,,Sand Veil,No,2
232,Donphan,Donphan,,,,,Ground,,90,120,120,60,60,50,500,83.33,Sturdy,,Sand Veil,Yes,2
233,Porygon2,Porygon2,,,,,Normal,,85,80,90,105,95,60,515,85.83,Trace,Download,Analytic,No,2
234,Stantler,Stantler,,,,,Normal,,73,95,62,85,65,85,465,77.5,Intimidate,Frisk,Sap Sipper,No,2
235,Smeargle,Smeargle,,,,,Normal,,55,20,35,20,45,75,250,41.67,Own Tempo,Technician,Moody,Yes,2
236,Tyrogue,Tyrogue,,,,,Fighting,,35,35,35,35,35,35,210,35,Guts,Steadfast,Vital Spirit,No,2
237,Hitmontop,Hitmontop,,,,,Fighting,,50,95,95,35,110,70,455,75.83,Intimidate,Technician,Steadfast,Yes,2
238,Smoochum,Smoochum,,,,,Ice,Psychic,45,30,15,85,65,65,305,50.83,Oblivious,Forewarn,Hydration,No,2
239,Elekid,Elekid,,,,,Electric,,45,63,37,65,55,95,360,60,Static,,Vital Spirit,No,2
240,Magby,Magby,,,,,Fire,,45,75,37,70,55,83,365,60.83,Flame Body,,Vital Spirit,No,2
241,Miltank,Miltank,,,,,Normal,,95,80,105,40,70,100,490,81.67,Thick Fat,Scrappy,Sap Sipper,Yes,2
242,Blissey,Blissey,,,,,Normal,,255,10,10,75,135,55,540,90,Natural Cure,Serene Grace,Healer,Yes,2
243,Raikou,Raikou,,,,,Electric,,90,85,75,115,100,115,580,96.67,Pressure,,Inner Focus,Yes,2
244,Entei,Entei,,,,,Fire,,115,115,85,90,75,100,580,96.67,Pressure,,Inner Focus,Yes,2
245,Suicune,Suicune,,,,,Water,,100,75,115,90,115,85,580,96.67,Pressure,,Inner Focus,Yes,2
246,Larvitar,Larvitar,,,,,Rock,Ground,50,64,50,45,50,41,300,50,Guts,,Sand Veil,No,2
247,Pupitar,Pupitar,,,,,Rock,Ground,70,84,70,65,70,51,410,68.33,Shed Skin,,,No,2
248,Tyranitar,Tyranitar,,,,,Rock,Dark,100,134,110,95,100,61,600,100,Sand Stream,,Unnerve,Yes,2
248,Mega Tyranitar,Mega Tyranitar,,,,,Rock,Dark,100,164,150,95,120,71,700,116.67,Sand Stream,,,Yes,6
249,Lugia,Lugia,,,,,Psychic,Flying,106,90,130,90,154,110,680,113.33,Pressure,,Multiscale,Yes,2
250,Ho-Oh,Ho-Oh,,,,,Fire,Flying,106,130,90,110,154,90,680,113.33,Pressure,,Regenerator,Yes,2
251,Celebi,Celebi,,,,,Grass,Psychic,100,100,100,100,100,100,600,100,Natural Cure,,,Yes,2
252,Treecko,Treecko,,,,,Grass,,40,45,35,65,55,70,310,51.67,Overgrow,,Unburden,No,3
253,Grovyle,Grovyle,,,,,Grass,,50,65,45,85,65,95,405,67.5,Overgrow,,Unburden,No,3
254,Sceptile,Sceptile,,,,,Grass,,70,85,65,105,85,120,530,88.33,Overgrow,,Unburden,Yes,3
254,Mega Sceptile,Mega Sceptile,,,,,Grass,Dragon,70,110,75,145,85,145,630,105,Lightning Rod,,,Yes,6
255,Torchic,Torchic,,,,,Fire,,45,60,40,70,50,45,310,51.67,Blaze,,Speed Boost,No,3
256,Combusken,Combusken,,,,,Fire,Fighting,60,85,60,85,60,55,405,67.5,Blaze,,Speed Boost,No,3
257,Blaziken,Blaziken,,,,,Fire,Fighting,80,120,70,110,70,80,530,88.33,Blaze,,Speed Boost,Yes,3
257,Mega Blaziken,Mega Blaziken,,,,,Fire,Fighting,80,160,80,130,80,100,630,105,Speed Boost,,,Yes,6
258,Mudkip,Mudkip,,,,,Water,,50,70,50,50,50,40,310,51.67,Torrent,,Damp,No,3
259,Marshtomp,Marshtomp,,,,,Water,Ground,70,85,70,60,70,50,405,67.5,Torrent,,Damp,No,3
260,Swampert,Swampert,,,,,Water,Ground,100,110,90,85,90,60,535,89.17,Torrent,,Damp,Yes,3
260,Mega Swampert,Mega Swampert,,,,,Water,Ground,100,150,110,95,110,70,635,105.83,Swift Swim,,,Yes,6
261,Poochyena,Poochyena,,,,,Dark,,35,55,35,30,30,35,220,36.67,Run Away,Quick Feet,Rattled,No,3
262,Mightyena,Mightyena,,,,,Dark,,70,90,70,60,60,70,420,70,Intimidate,Quick Feet,Moxie,Yes,3
263,Zigzagoon,Zigzagoon,,,,,Normal,,38,30,41,30,41,60,240,40,Pickup,Gluttony,Quick Feet,No,3
263,Galarian Zigzagoon,Galarian Zigzagoon,,,,,Dark,Normal,38,30,41,30,41,60,240,40,Pickup,Gluttony,Quick Feet,No,8
264,Linoone,Linoone,,,,,Normal,,78,70,61,50,61,100,420,70,Pickup,Gluttony,Quick Feet,Yes,3
264,Galarian Linoone,Galarian Linoone,,,,,Dark,Normal,78,70,61,50,61,100,420,70,Pickup,Gluttony,Quick Feet,No,8
265,Wurmple,Wurmple,,,,,Bug,,45,45,35,20,30,20,195,32.5,Shield Dust,,Run Away,No,3
266,Silcoon,Silcoon,,,,,Bug,,50,35,55,25,25,15,205,34.17,Shed Skin,,,No,3
267,Beautifly,Beautifly,,,,,Bug,Flying,60,70,50,100,50,65,395,65.83,Swarm,,Rivalry,Yes,3
268,Cascoon,Cascoon,,,,,Bug,,50,35,55,25,25,15,205,34.17,Shed Skin,,,No,3
269,Dustox,Dustox,,,,,Bug,Poison,60,50,70,50,90,65,385,64.17,Shield Dust,,Compound Eyes,Yes,3
270,Lotad,Lotad,,,,,Water,Grass,40,30,30,40,50,30,220,36.67,Swift Swim,Rain Dish,Own Tempo,No,3
271,Lombre,Lombre,,,,,Water,Grass,60,50,50,60,70,50,340,56.67,Swift Swim,Rain Dish,Own Tempo,No,3
272,Ludicolo,Ludicolo,,,,,Water,Grass,80,70,70,90,100,70,480,80,Swift Swim,Rain Dish,Own Tempo,Yes,3
273,Seedot,Seedot,,,,,Grass,,40,40,50,30,30,30,220,36.67,Chlorophyll,Early Bird,Pickpocket,No,3
274,Nuzleaf,Nuzleaf,,,,,Grass,Dark,70,70,40,60,40,60,340,56.67,Chlorophyll,Early Bird,Pickpocket,No,3
275,Shiftry,Shiftry,,,,,Grass,Dark,90,100,60,90,60,80,480,80,Chlorophyll,Early Bird,Pickpocket,Yes,3
276,Taillow,Taillow,,,,,Normal,Flying,40,55,30,30,30,85,270,45,Guts,,Scrappy,No,3
277,Swellow,Swellow,,,,,Normal,Flying,60,85,60,75,50,125,455,75.83,Guts,,Scrappy,Yes,3
278,Wingull,Wingull,,,,,Water,Flying,40,30,30,55,30,85,270,45,Keen Eye,Hydration,Rain Dish,No,3
279,Pelipper,Pelipper,,,,,Water,Flying,60,50,100,95,70,65,440,73.33,Keen Eye,Drizzle,Rain Dish,Yes,3
280,Ralts,Ralts,,,,,Psychic,Fairy,28,25,25,45,35,40,198,33,Synchronize,Trace,Telepathy,No,3
281,Kirlia,Kirlia,,,,,Psychic,Fairy,38,35,35,65,55,50,278,46.33,Synchronize,Trace,Telepathy,No,3
282,Gardevoir,Gardevoir,,,,,Psychic,Fairy,68,65,65,125,115,80,518,86.33,Synchronize,Trace,Telepathy,Yes,3
282,Mega Gardevoir,Mega Gardevoir,,,,,Psychic,Fairy,68,85,65,165,135,100,618,103,Pixilate,,,Yes,6
283,Surskit,Surskit,,,,,Bug,Water,40,30,32,50,52,65,269,44.83,Swift Swim,,Rain Dish,No,3
284,Masquerain,Masquerain,,,,,Bug,Flying,70,60,62,100,82,80,454,75.67,Intimidate,,Unnerve,Yes,3
285,Shroomish,Shroomish,,,,,Grass,,60,40,60,40,60,35,295,49.17,Effect Spore,Poison Heal,Quick Feet,No,3
286,Breloom,Breloom,,,,,Grass,Fighting,60,130,80,60,60,70,460,76.67,Effect Spore,Poison Heal,Technician,Yes,3
287,Slakoth,Slakoth,,,,,Normal,,60,60,60,35,35,30,280,46.67,Truant,,,No,3
288,Vigoroth,Vigoroth,,,,,Normal,,80,80,80,55,55,90,440,73.33,Vital Spirit,,,No,3
289,Slaking,Slaking,,,,,Normal,,150,160,100,95,65,100,670,111.67,Truant,,,Yes,3
290,Nincada,Nincada,,,,,Bug,,31,45,90,30,30,40,266,44.33,Compound Eyes,,Run Away,No,3
291,Ninjask,Ninjask,,,,,Bug,Flying,61,90,45,50,50,160,456,76,Speed Boost,,Infiltrator,Yes,3
292,Shedinja,Shedinja,,,,,Bug,Ghost,1,90,45,30,30,40,236,39.33,Wonder Guard,,,Yes,3
293,Whismur,Whismur,,,,,Normal,,64,51,23,51,23,28,240,40,Soundproof,,Rattled,No,3
294,Loudred,Loudred,,,,,Normal,,84,71,43,71,43,48,360,60,Soundproof,,Scrappy,No,3
295,Exploud,Exploud,,,,,Normal,,104,91,63,91,73,68,490,81.67,Soundproof,,Scrappy,Yes,3
296,Makuhita,Makuhita,,,,,Fighting,,72,60,30,20,30,25,237,39.5,Thick Fat,Guts,Sheer Force,No,3
297,Hariyama,Hariyama,,,,,Fighting,,144,120,60,40,60,50,474,79,Thick Fat,Guts,Sheer Force,Yes,3
298,Azurill,Azurill,,,,,Normal,Fairy,50,20,40,20,40,20,190,31.67,Thick Fat,Huge Power,Sap Sipper,No,3
299,Nosepass,Nosepass,,,,,Rock,,30,45,135,45,90,30,375,62.5,Sturdy,Magnet Pull,Sand Force,No,3
300,Skitty,Skitty,,,,,Normal,,50,45,45,35,35,50,260,43.33,Cute Charm,Normalize,Wonder Skin,No,3
301,Delcatty,Delcatty,,,,,Normal,,70,65,65,55,55,90,400,66.67,Cute Charm,Normalize,Wonder Skin,Yes,3
302,Sableye,Sableye,,,,,Dark,Ghost,50,75,75,65,65,50,380,63.33,Keen Eye,Stall,Prankster,Yes,3
302,Mega Sableye,Mega Sableye,,,,,Dark,Ghost,50,85,125,85,115,20,480,80,Magic Bounce,,,Yes,6
303,Mawile,Mawile,,,,,Steel,Fairy,50,85,85,55,55,50,380,63.33,Hyper Cutter,Intimidate,Sheer Force,Yes,3
303,Mega Mawile,Mega Mawile,,,,,Steel,Fairy,50,105,125,55,95,50,480,80,Huge Power,,,Yes,6
304,Aron,Aron,,,,,Steel,Rock,50,70,100,40,40,30,330,55,Sturdy,Rock Head,Heavy Metal,No,3
305,Lairon,Lairon,,,,,Steel,Rock,60,90,140,50,50,40,430,71.67,Sturdy,Rock Head,Heavy Metal,No,3
306,Aggron,Aggron,,,,,Steel,Rock,70,110,180,60,60,50,530,88.33,Sturdy,Rock Head,Heavy Metal,Yes,3
306,Mega Aggron,Mega Aggron,,,,,Steel,,70,140,230,60,80,50,630,105,Filter,,,Yes,6
307,Meditite,Meditite,,,,,Psychic,Fighting,30,40,55,40,55,60,280,46.67,Pure Power,,Telepathy,No,3
308,Medicham,Medicham,,,,,Psychic,Fighting,60,60,75,60,75,80,410,68.33,Pure Power,,Telepathy,Yes,3
308,Mega Medicham,Mega Medicham,,,,,Psychic,Fighting,60,100,85,80,85,100,510,85,Pure Power,,,Yes,6
309,Electrike,Electrike,,,,,Electric,,40,45,40,65,40,65,295,49.17,Static,Lightning Rod,Minus,No,3
310,Manectric,Manectric,,,,,Electric,,70,75,60,105,60,105,475,79.17,Static,Lightning Rod,Minus,Yes,3
310,Mega Manectric,Mega Manectric,,,,,Electric,,70,75,80,135,80,135,575,95.83,Intimidate,,,Yes,6
311,Plusle,Plusle,,,,,Electric,,60,50,40,85,75,95,405,67.5,Plus,,Lightning Rod,Yes,3
312,Minun,Minun,,,,,Electric,,60,40,50,75,85,95,405,67.5,Minus,,Volt Absorb,Yes,3
313,Volbeat,Volbeat,,,,,Bug,,65,73,75,47,85,85,430,71.67,Illuminate,Swarm,Prankster,Yes,3
314,Illumise,Illumise,,,,,Bug,,65,47,75,73,85,85,430,71.67,Oblivious,Tinted Lens,Prankster,Yes,3
315,Roselia,Roselia,,,,,Grass,Poison,50,60,45,100,80,65,400,66.67,Natural Cure,Poison Point,Leaf Guard,No,3
316,Gulpin,Gulpin,,,,,Poison,,70,43,53,43,53,40,302,50.33,Liquid Ooze,Sticky Hold,Gluttony,No,3
317,Swalot,Swalot,,,,,Poison,,100,73,83,73,83,55,467,77.83,Liquid Ooze,Sticky Hold,Gluttony,Yes,3
318,Carvanha,Carvanha,,,,,Water,Dark,45,90,20,65,20,65,305,50.83,Rough Skin,,Speed Boost,No,3
319,Sharpedo,Sharpedo,,,,,Water,Dark,70,120,40,95,40,95,460,76.67,Rough Skin,,Speed Boost,Yes,3
319,Mega Sharpedo,Mega Sharpedo,,,,,Water,Dark,70,140,70,110,65,105,560,93.33,Strong Jaw,,,Yes,6
320,Wailmer,Wailmer,,,,,Water,,130,70,35,70,35,60,400,66.67,Water Veil,Oblivious,Pressure,No,3
321,Wailord,Wailord,,,,,Water,,170,90,45,90,45,60,500,83.33,Water Veil,Oblivious,Pressure,Yes,3
322,Numel,Numel,,,,,Fire,Ground,60,60,40,65,45,35,305,50.83,Oblivious,Simple,Own Tempo,No,3
323,Camerupt,Camerupt,,,,,Fire,Ground,70,100,70,105,75,40,460,76.67,Magma Armor,Solid Rock,Anger Point,Yes,3
323,Mega Camerupt,Mega Camerupt,,,,,Fire,Ground,70,120,100,145,105,20,560,93.33,Sheer Force,,,Yes,6
324,Torkoal,Torkoal,,,,,Fire,,70,85,140,85,70,20,470,78.33,White Smoke,Drought,Shell Armor,Yes,3
325,Spoink,Spoink,,,,,Psychic,,60,25,35,70,80,60,330,55,Thick Fat,Own Tempo,Gluttony,No,3
326,Grumpig,Grumpig,,,,,Psychic,,80,45,65,90,110,80,470,78.33,Thick Fat,Own Tempo,Gluttony,Yes,3
327,Spinda,Spinda,,,,,Normal,,60,60,60,60,60,60,360,60,Own Tempo,Tangled Feet,Contrary,Yes,3
328,Trapinch,Trapinch,,,,,Ground,,45,100,45,45,45,10,290,48.33,Hyper Cutter,Arena Trap,Sheer Force,No,3
329,Vibrava,Vibrava,,,,,Ground,Dragon,50,70,50,50,50,70,340,56.67,Levitate,,,No,3
330,Flygon,Flygon,,,,,Ground,Dragon,80,100,80,80,80,100,520,86.67,Levitate,,,Yes,3
331,Cacnea,Cacnea,,,,,Grass,,50,85,40,85,40,35,335,55.83,Sand Veil,,Water Absorb,No,3
332,Cacturne,Cacturne,,,,,Grass,Dark,70,115,60,115,60,55,475,79.17,Sand Veil,,Water Absorb,Yes,3
333,Swablu,Swablu,,,,,Normal,Flying,45,40,60,40,75,50,310,51.67,Natural Cure,,Cloud Nine,No,3
334,Altaria,Altaria,,,,,Dragon,Flying,75,70,90,70,105,80,490,81.67,Natural Cure,,Cloud Nine,Yes,3
334,Mega Altaria,Mega Altaria,,,,,Dragon,Fairy,75,110,110,110,105,80,590,98.33,Pixilate,,,Yes,6
335,Zangoose,Zangoose,,,,,Normal,,73,115,60,60,60,90,458,76.33,Immunity,,Toxic Boost,Yes,3
336,Seviper,Seviper,,,,,Poison,,73,100,60,100,60,65,458,76.33,Shed Skin,,Infiltrator,Yes,3
337,Lunatone,Lunatone,,,,,Rock,Psychic,90,55,65,95,85,70,460,76.67,Levitate,,,Yes,3
338,Solrock,Solrock,,,,,Rock,Psychic,90,95,85,55,65,70,460,76.67,Levitate,,,Yes,3
339,Barboach,Barboach,,,,,Water,Ground,50,48,43,46,41,60,288,48,Oblivious,Anticipation,Hydration,No,3
340,Whiscash,Whiscash,,,,,Water,Ground,110,78,73,76,71,60,468,78,Oblivious,Anticipation,Hydration,Yes,3
341,Corphish,Corphish,,,,,Water,,43,80,65,50,35,35,308,51.33,Hyper Cutter,Shell Armor,Adaptability,No,3
342,Crawdaunt,Crawdaunt,,,,,Water,Dark,63,120,85,90,55,55,468,78,Hyper Cutter,Shell Armor,Adaptability,Yes,3
343,Baltoy,Baltoy,,,,,Ground,Psychic,40,40,55,40,70,55,300,50,Levitate,,,No,3
344,Claydol,Claydol,,,,,Ground,Psychic,60,70,105,70,120,75,500,83.33,Levitate,,,Yes,3
345,Lileep,Lileep,,,,,Rock,Grass,66,41,77,61,87,23,355,59.17,Suction Cups,,Storm Drain,No,3
346,Cradily,Cradily,,,,,Rock,Grass,86,81,97,81,107,43,495,82.5,Suction Cups,,Storm Drain,Yes,3
347,Anorith,Anorith,,,,,Rock,Bug,45,95,50,40,50,75,355,59.17,Battle Armor,,Swift Swim,No,3
348,Armaldo,Armaldo,,,,,Rock,Bug,75,125,100,70,80,45,495,82.5,Battle Armor,,Swift Swim,Yes,3
349,Feebas,Feebas,,,,,Water,,20,15,20,10,55,80,200,33.33,Swift Swim,Oblivious,Adaptability,No,3
350,Milotic,Milotic,,,,,Water,,95,60,79,100,125,81,540,90,Marvel Scale,Competitive,Cute Charm,Yes,3
351,Castform,Castform,,,,,Normal,,70,70,70,70,70,70,420,70,Forecast,,,Yes,3
351,Castform-Rainy,Castform-Rainy,,,,,Water,,70,70,70,70,70,70,420,70,Forecast,,,Yes,3
351,Castform-Snowy,Castform-Snowy,,,,,Ice,,70,70,70,70,70,70,420,70,Forecast,,,Yes,3
351,Castform-Sunny,Castform-Sunny,,,,,Fire,,70,70,70,70,70,70,420,70,Forecast,,,Yes,3
352,Kecleon,Kecleon,,,,,Normal,,60,90,70,60,120,40,440,73.33,Color Change,,Protean,Yes,3
